"Country","Commodity","Item","Unit","Year","Amount","Anomaly","kg_food_per_person","Amount_Category","new_numerical"
"Algeria","Total Grains/Cereals","Area Harvested","1000 Ha",2003,2901.562,0.66,226.644314229311,"High",1.32
"Algeria","Total Grains/Cereals","Yield","MT / Ha",2003,1.471517755,0.66,226.644314229311,"High",1.32
"Algeria","Total Grains/Cereals","Production Quantity","1000 MT",2003,4269.7,0.66,226.644314229311,"High",1.32
"Algeria","Total Grains/Cereals","Import Quantity","1000 MT",2003,5705.2,0.66,226.644314229311,"High",1.32
"Algeria","Total Grains/Cereals","Import Value","Million US$",2003,1124.76,0.66,226.644314229311,"High",1.32
"Algeria","Total Grains/Cereals","Import Unit Value","US$ / MT",2003,197.1464629,0.66,226.644314229311,"High",1.32
"Algeria","Total Grains/Cereals","Export Quantity","1000 MT",2003,0,0.66,226.644314229311,"Low",1.32
"Algeria","Total Grains/Cereals","Stock Variation","1000 MT",2003,-140,0.66,226.644314229311,"Low",1.32
"Algeria","Total Grains/Cereals","Feed + Seed","1000 MT",2003,2259,0.66,226.644314229311,"High",1.32
"Algeria","Total Grains/Cereals","Waste + Processed + OtherUtilization","1000 MT",2003,643,0.66,226.644314229311,"High",1.32
"Algeria","Total Grains/Cereals","Food Availability","1000 MT",2003,7232.9,0.66,226.644314229311,"High",1.32
"Algeria","Total Grains/Cereals","Food Availability per capita","kg/cap/yr",2003,226.6443142,0.66,226.644314229311,"High",1.32
"Algeria","Food Aid","Cereal Food Aid","Grain Equiv. 1000 MT",2003,5.218109092,0.66,226.644314229311,"High",1.32
"Algeria","Food Aid","Total","Grain Equiv. 1000 MT",2003,11.80686971,0.66,226.644314229311,"High",1.32
"Algeria","Food Aid","Non-Cereal Food Aid","Grain Equiv. 1000 MT",2003,6.588760621,0.66,226.644314229311,"High",1.32
"Algeria","Population","Total Population - Both Sexes","Million",2003,31.913,0.66,226.644314229311,"High",1.32
